Model,Fuel_Efficiency,Efficiency_Classification
GT-R,10.16,Low
Scorpio-N,,Low
Virtus,18.67,Medium
Amaze,18.3,Medium
Amaze,18.6,Medium
Tiguan,12.65,Low
"Scorpio Classic",,Low
WR-V,16.5,Medium
Amaze,24.7,High
WR-V,23.7,High
Scorpio-N,,Low
Jazz,17.1,Medium
Kicks,16,Medium
Scorpio-N,,Low
Kicks,13.9,Low
"C5 Aircross",18.6,Medium
Scorpio-N,,Low
"City 5th Gen",17.8,Medium
Scorpio-N,,Low
"Grand i10 Nios",21,High
Scorpio-N,,Low
Scorpio-N,,Low
Kicks,16,Medium
Aura,20,Medium
Fortuner,14.2,Low
Sonet,18.2,Medium
Sonet,18.3,Medium
Safari,14.08,Low
Sonet,24.1,High
Seltos,16.5,Medium
Seltos,16.5,Medium
Seltos,16.5,Medium
Amaze,21,High
"City 5th Gen",18.4,Medium
Seltos,16.5,Medium
"Scorpio Classic",,Low
Fortuner,14.2,Low
"Grand i10 Nios",21,High
Marazzo,17,Medium
Jazz,16.6,Medium
"City 5th Gen",24.1,High
"XUV 300",17.5,Medium
"XUV 300",20,Medium
"Urban Cruiser",17.03,Medium
"Urban Cruiser",18.76,Medium
"Fortuner Legender",14.4,Low
"Fortuner Legender",14.2,Low
Scorpio-N,,Low
Scorpio-N,,Low
Scorpio-N,,Low
"City 4th Gen",17.4,Medium
"City e-HEV",26.5,High
Seltos,16.4,Medium
Safari,16.14,Medium
Seltos,21,High
Creta,18.46,Medium
Aura,21,High
i20,20.35,High
Alcazar,18.1,Medium
"Grand i10 Nios",22,High
"Grand i10 Nios",21,High
Glanza,22.94,High
Glanza,22.35,High
i20,19.65,Medium
Fortuner,14.2,Low
Verna,18.4,Medium
Verna,17.7,Medium
"i20 N-Line",20.25,High
"i20 N-Line",20.25,High
Creta,21.35,High
Venue,17.5,Medium
Creta,16.76,Medium
Creta,16.76,Medium
Creta,16.76,Medium
"Venue N-Line",18.1,Medium
Venue,23.4,High
Alcazar,14.2,Low
Venue,18.1,Medium
i20,20.25,High
Aura,28,High
Sonet,19,Medium
Tucson,,Low
Verna,19.2,Medium
i20,20.25,High
i20,25.2,High
Tucson,12.95,Low
Fortuner,14.2,Low
Venue,17.8,Medium
Carens,18.4,Medium
Safari,16.14,Medium
Alcazar,14.5,Low
Fortuner,14.2,Low
Aura,21,High
Verna,21.3,High
Alcazar,18.1,Medium
Alcazar,20.4,High
Safari,14.08,Low
Seltos,21,High
Harrier,14.6,Low
Harrier,16.35,Medium
Carens,21.3,High
Carens,16.5,Medium
Carens,16.2,Medium
Sonet,18.4,Medium
Tucson,16.38,Medium
Alcazar,14.2,Low
Carens,21.3,High
Verna,25,High
Alcazar,20.4,High
Fortuner,14.2,Low
Carens,15.7,Medium
Alcazar,14.5,Low
Seltos,18,Medium
Carnival,11.01,Low
Carnival,11.01,Low
Carnival,11.01,Low
Carens,16.2,Medium
Carens,16.5,Medium
Kiger,19.1,Medium
Kiger,20.5,High
C3,19.4,Medium
C3,19.8,Medium
Kwid,22,High
Kwid,21.7,High
Kwid,20.7,High
Triber,18.2,Medium
Triber,19,Medium
Kiger,19,Medium
Virtus,18.12,Medium
"XUV 300",17,Medium
Kiger,18.2,Medium
Taigun,18.47,Medium
Taigun,17.23,Medium
Taigun,19.2,Medium
Taigun,17.88,Medium
"XUV 300",17,Medium
Magnite,20,Medium
Magnite,17.7,Medium
Magnite,18.75,Medium
Virtus,19.4,Medium
