Model,Maker,Other_Model
Magnite,Nissan,GT-R
Magnite,Nissan,GT-R
Magnite,Nissan,GT-R
Kicks,Nissan,GT-R
Kicks,Nissan,GT-R
Kicks,Nissan,GT-R
"XUV 300",Mahindra,Scorpio-N
"XUV 300",Mahindra,Scorpio-N
"XUV 300",Mahindra,Scorpio-N
"XUV 300",Mahindra,Scorpio-N
Marazzo,Mahindra,Scorpio-N
"Scorpio Classic",Mahindra,Scorpio-N
"Scorpio Classic",Mahindra,Scorpio-N
Taigun,Volkswagen,Virtus
Taigun,Volkswagen,Virtus
Taigun,Volkswagen,Virtus
Taigun,Volkswagen,Virtus
Tiguan,Volkswagen,Virtus
"City e-HEV",Honda,Amaze
"City 4th Gen",Honda,Amaze
"City 5th Gen",Honda,Amaze
Jazz,Honda,Amaze
"City 5th Gen",Honda,Amaze
"City 5th Gen",Honda,Amaze
Jazz,Honda,Amaze
WR-V,Honda,Amaze
WR-V,Honda,Amaze
"City e-HEV",Honda,Amaze
"City 4th Gen",Honda,Amaze
"City 5th Gen",Honda,Amaze
Jazz,Honda,Amaze
"City 5th Gen",Honda,Amaze
"City 5th Gen",Honda,Amaze
Jazz,Honda,Amaze
WR-V,Honda,Amaze
WR-V,Honda,Amaze
Virtus,Volkswagen,Tiguan
Taigun,Volkswagen,Tiguan
Taigun,Volkswagen,Tiguan
Taigun,Volkswagen,Tiguan
Taigun,Volkswagen,Tiguan
Virtus,Volkswagen,Tiguan
Virtus,Volkswagen,Tiguan
"XUV 300",Mahindra,"Scorpio Classic"
"XUV 300",Mahindra,"Scorpio Classic"
Scorpio-N,Mahindra,"Scorpio Classic"
Scorpio-N,Mahindra,"Scorpio Classic"
Scorpio-N,Mahindra,"Scorpio Classic"
"XUV 300",Mahindra,"Scorpio Classic"
"XUV 300",Mahindra,"Scorpio Classic"
Marazzo,Mahindra,"Scorpio Classic"
Scorpio-N,Mahindra,"Scorpio Classic"
Scorpio-N,Mahindra,"Scorpio Classic"
Scorpio-N,Mahindra,"Scorpio Classic"
Scorpio-N,Mahindra,"Scorpio Classic"
Scorpio-N,Mahindra,"Scorpio Classic"
Scorpio-N,Mahindra,"Scorpio Classic"
Scorpio-N,Mahindra,"Scorpio Classic"
"City e-HEV",Honda,WR-V
"City 4th Gen",Honda,WR-V
"City 5th Gen",Honda,WR-V
Jazz,Honda,WR-V
"City 5th Gen",Honda,WR-V
Amaze,Honda,WR-V
"City 5th Gen",Honda,WR-V
Jazz,Honda,WR-V
Amaze,Honda,WR-V
Amaze,Honda,WR-V
Amaze,Honda,WR-V
"City e-HEV",Honda,Amaze
"City 4th Gen",Honda,Amaze
"City 5th Gen",Honda,Amaze
Jazz,Honda,Amaze
"City 5th Gen",Honda,Amaze
"City 5th Gen",Honda,Amaze
Jazz,Honda,Amaze
WR-V,Honda,Amaze
WR-V,Honda,Amaze
"City e-HEV",Honda,WR-V
"City 4th Gen",Honda,WR-V
"City 5th Gen",Honda,WR-V
Jazz,Honda,WR-V
"City 5th Gen",Honda,WR-V
Amaze,Honda,WR-V
"City 5th Gen",Honda,WR-V
Jazz,Honda,WR-V
Amaze,Honda,WR-V
Amaze,Honda,WR-V
Amaze,Honda,WR-V
"XUV 300",Mahindra,Scorpio-N
"XUV 300",Mahindra,Scorpio-N
"XUV 300",Mahindra,Scorpio-N
"XUV 300",Mahindra,Scorpio-N
Marazzo,Mahindra,Scorpio-N
"Scorpio Classic",Mahindra,Scorpio-N
"Scorpio Classic",Mahindra,Scorpio-N
"City e-HEV",Honda,Jazz
"City 4th Gen",Honda,Jazz
"City 5th Gen",Honda,Jazz
"City 5th Gen",Honda,Jazz
Amaze,Honda,Jazz
"City 5th Gen",Honda,Jazz
WR-V,Honda,Jazz
Amaze,Honda,Jazz
WR-V,Honda,Jazz
Amaze,Honda,Jazz
Amaze,Honda,Jazz
Magnite,Nissan,Kicks
Magnite,Nissan,Kicks
Magnite,Nissan,Kicks
GT-R,Nissan,Kicks
"XUV 300",Mahindra,Scorpio-N
"XUV 300",Mahindra,Scorpio-N
"XUV 300",Mahindra,Scorpio-N
"XUV 300",Mahindra,Scorpio-N
Marazzo,Mahindra,Scorpio-N
"Scorpio Classic",Mahindra,Scorpio-N
"Scorpio Classic",Mahindra,Scorpio-N
Magnite,Nissan,Kicks
Magnite,Nissan,Kicks
Magnite,Nissan,Kicks
GT-R,Nissan,Kicks
C3,Citroen,"C5 Aircross"
C3,Citroen,"C5 Aircross"
"XUV 300",Mahindra,Scorpio-N
"XUV 300",Mahindra,Scorpio-N
"XUV 300",Mahindra,Scorpio-N
"XUV 300",Mahindra,Scorpio-N
Marazzo,Mahindra,Scorpio-N
"Scorpio Classic",Mahindra,Scorpio-N
"Scorpio Classic",Mahindra,Scorpio-N
"City e-HEV",Honda,"City 5th Gen"
"City 4th Gen",Honda,"City 5th Gen"
Jazz,Honda,"City 5th Gen"
Amaze,Honda,"City 5th Gen"
Jazz,Honda,"City 5th Gen"
WR-V,Honda,"City 5th Gen"
Amaze,Honda,"City 5th Gen"
WR-V,Honda,"City 5th Gen"
Amaze,Honda,"City 5th Gen"
Amaze,Honda,"City 5th Gen"
"XUV 300",Mahindra,Scorpio-N
"XUV 300",Mahindra,Scorpio-N
"XUV 300",Mahindra,Scorpio-N
"XUV 300",Mahindra,Scorpio-N
Marazzo,Mahindra,Scorpio-N
"Scorpio Classic",Mahindra,Scorpio-N
"Scorpio Classic",Mahindra,Scorpio-N
Alcazar,Hyundai,"Grand i10 Nios"
Alcazar,Hyundai,"Grand i10 Nios"
Verna,Hyundai,"Grand i10 Nios"
Alcazar,Hyundai,"Grand i10 Nios"
Tucson,Hyundai,"Grand i10 Nios"
Alcazar,Hyundai,"Grand i10 Nios"
Alcazar,Hyundai,"Grand i10 Nios"
Verna,Hyundai,"Grand i10 Nios"
Aura,Hyundai,"Grand i10 Nios"
Alcazar,Hyundai,"Grand i10 Nios"
Venue,Hyundai,"Grand i10 Nios"
Tucson,Hyundai,"Grand i10 Nios"
i20,Hyundai,"Grand i10 Nios"
i20,Hyundai,"Grand i10 Nios"
Verna,Hyundai,"Grand i10 Nios"
Tucson,Hyundai,"Grand i10 Nios"
Aura,Hyundai,"Grand i10 Nios"
i20,Hyundai,"Grand i10 Nios"
Venue,Hyundai,"Grand i10 Nios"
