Model,Turning_Radius,Rank_Turning_Radius
Scorpio-N,,1
Scorpio-N,,1
Scorpio-N,,1
Scorpio-N,,1
Scorpio-N,,1
Scorpio-N,,1
Scorpio-N,,1
Scorpio-N,,1
Scorpio-N,,1
Scorpio-N,,1
Amaze,4.7,11
Amaze,4.7,11
Aura,4.7,11
Aura,4.7,11
Aura,4.7,11
Aura,4.7,11
Glanza,4.85,17
Glanza,4.85,17
Amaze,4.9,19
Amaze,4.9,19
"Grand i10 Nios",4.9,19
"Grand i10 Nios",4.9,19
"Grand i10 Nios",4.9,19
"Grand i10 Nios",4.9,19
C3,4.98,25
C3,4.98,25
Kwid,5,27
Kwid,5,27
Magnite,5,27
Magnite,5,27
Kwid,5,27
Magnite,5,27
Kiger,5.02,33
Kiger,5.02,33
Kiger,5.02,33
Kiger,5.02,33
Virtus,5.05,37
Virtus,5.05,37
Taigun,5.05,37
Virtus,5.05,37
Taigun,5.05,37
Taigun,5.05,37
Taigun,5.05,37
Sonet,5.1,44
Carens,5.1,44
Carens,5.1,44
Jazz,5.1,44
Carens,5.1,44
Jazz,5.1,44
Carens,5.1,44
Venue,5.1,44
Venue,5.1,44
"Venue N-Line",5.1,44
Venue,5.1,44
Sonet,5.1,44
Sonet,5.1,44
Venue,5.1,44
Sonet,5.1,44
Sonet,5.1,44
Carens,5.1,44
Carens,5.1,44
Carens,5.1,44
Carens,5.1,44
i20,5.2,64
Verna,5.2,64
i20,5.2,64
i20,5.2,64
Kicks,5.2,64
Kicks,5.2,64
i20,5.2,64
Kicks,5.2,64
Verna,5.2,64
Verna,5.2,64
"i20 N-Line",5.2,64
i20,5.2,64
Verna,5.2,64
Verna,5.2,64
"i20 N-Line",5.2,64
"Urban Cruiser",5.2,64
"Urban Cruiser",5.2,64
Marazzo,5.25,81
"City e-HEV",5.3,82
"City 4th Gen",5.3,82
WR-V,5.3,82
WR-V,5.3,82
"XUV 300",5.3,82
"City 5th Gen",5.3,82
"XUV 300",5.3,82
Seltos,5.3,82
Seltos,5.3,82
Seltos,5.3,82
"City 5th Gen",5.3,82
Alcazar,5.3,82
"City 5th Gen",5.3,82
"XUV 300",5.3,82
Creta,5.3,82
Alcazar,5.3,82
Alcazar,5.3,82
Alcazar,5.3,82
Seltos,5.3,82
Alcazar,5.3,82
Creta,5.3,82
Creta,5.3,82
Creta,5.3,82
Alcazar,5.3,82
Alcazar,5.3,82
Seltos,5.3,82
Seltos,5.3,82
Alcazar,5.3,82
Creta,5.3,82
Seltos,5.3,82
"XUV 300",5.3,82
Seltos,5.3,82
"C5 Aircross",5.35,114
Tiguan,5.39,115
"Scorpio Classic",5.4,116
Triber,5.4,116
Triber,5.4,116
"Scorpio Classic",5.4,116
GT-R,5.57,120
Harrier,5.75,121
Harrier,5.75,121
Safari,5.8,123
Safari,5.8,123
Fortuner,5.8,123
Fortuner,5.8,123
Safari,5.8,123
Fortuner,5.8,123
Fortuner,5.8,123
Carnival,5.8,123
Carnival,5.8,123
"Fortuner Legender",5.8,123
"Fortuner Legender",5.8,123
Carnival,5.8,123
Fortuner,5.8,123
Fortuner,5.8,123
Safari,5.8,123
Tucson,5.9,138
Tucson,5.9,138
Tucson,5.9,138
