Model,Seats
"Scorpio Classic",9
Carnival,9
Carnival,8
"Scorpio Classic",7
Carens,7
Scorpio-N,7
Carnival,7
Scorpio-N,7
Triber,7
Scorpio-N,7
Fortuner,7
Safari,7
Triber,7
Fortuner,7
Marazzo,7
"Fortuner Legender",7
"Fortuner Legender",7
Scorpio-N,7
Scorpio-N,7
Scorpio-N,7
Safari,7
Fortuner,7
Fortuner,7
Alcazar,7
Alcazar,7
Fortuner,7
Alcazar,7
Carens,7
Carens,7
Carens,7
Alcazar,7
Fortuner,7
Scorpio-N,6
Scorpio-N,6
Scorpio-N,6
Scorpio-N,6
Carens,6
Safari,6
Alcazar,6
Safari,6
Carens,6
Alcazar,6
Carens,6
Carens,6
Alcazar,6
Alcazar,6
